Ids,sentiment,sarcasm,vulgar,abuse,target,SentimentLabel,SarcasmLabel,VulgarLabel,AbuseLabel,Image_Path,Banglatext,EnglishText
image_1.jpg,Negative,Yes,Not Vulgar,Abusive,Political,0,1,0,1,/content/drive/MyDrive/BanglaAbuseMeme/BanglaAbuseMeme/Images/image_1.jpg,অণুজীব এবং_পতঙ্গ দের বানানো খাদ্য ল্যাকটোব্যাসিলাস মৌমাছি ইস্টী ভান-প্যান্টি) কিছু,Microbi and_patang made food lactobacillas bee esti van-panty) something
image_2.jpg,Negative,Yes,Vulgar,Non-abusive,,0,1,1,0,/content/drive/MyDrive/BanglaAbuseMeme/BanglaAbuseMeme/Images/image_2.jpg,"ঘ০ চ৬""} যানকুণ্ড চংশয়ঝ| ভংস ০গচ0শ] [ন্দমোড [||4|[| |0|| একবোপের বেটা হিলে এখানকালি ঘাখিয়ে দেখা মাদারজাত মেদমদম 42043 334|2","D. 1 ""} Traffic Chasiazha | Bhang 1 Gach 0 SHIPS [|| 4 | [| 0 | 0 | 1 Beta Hill of Ekbop Mother's Medamdam 42043 334 | 2."
image_3.jpg,Neutral,Yes,Not Vulgar,Non-abusive,Political,1,1,0,0,/content/drive/MyDrive/BanglaAbuseMeme/BanglaAbuseMeme/Images/image_3.jpg,৪;:| [] তৃগমূলের রাঙা সহ সভাপতি প্রশাত্ত কিডশার একজনীবহিরাগত একজন বিহারী তূনমুলের রাজ] হওেঙেল; সডাপতি,"3;: |[] Ranga, the president of the thirst, is the king of Bihari Tunmul, the king of Kidasar, the king of the Kidasha] Hongel;Privilege"
image_4.jpg,Neutral,No,Vulgar,Non-abusive,Political,1,0,1,0,/content/drive/MyDrive/BanglaAbuseMeme/BanglaAbuseMeme/Images/image_4.jpg,"আস্ফানে টাকা দিয়েছিস কি হিসেব চাইতিস [দব5][,505={4""1:1 আম্ফানে কেন্দ্র সরকার ৩9০০ কোটি টাক পঠিয়ে ছিল","Asfan gave money to the calculation [Dob 5] [, 505 = {4 ""1: 1 Ampan on the Central Government Rs."
image_5.jpg,Negative,Yes,Not Vulgar,Non-abusive,Political,0,1,0,0,/content/drive/MyDrive/BanglaAbuseMeme/BanglaAbuseMeme/Images/image_5.jpg,[74944]3[641{50[341191 দিদি ভাপান বিণাযকদেব ফোন কযদেল ছাড়তে মঢা ববদেন কিভ যে মতুষটিব জন্য দল আজ এই ডচতাহ সেহ শুভেন্দু্যুত একবারও যেন বলেন না ঢেন  417141#1!5]49[ 136310[ এবার আমার ছেলে অভিষেক উপ হবে-পরের বার মুখ্ামন্রা আরো কমেকজন ভাইপো লচনে আাছে মুগ্যমদী,[74944] 3 [641 {50 [341191 Didi Bhanakdev leaves the phone kabdel to leave the phone that the team is for the masculine that is not even once said that this Dachtah Seh Shubenduut does not say once in 417141#1!Mugamdi
image_6.jpg,Negative,Yes,Not Vulgar,Abusive,Individual,0,1,0,1,/content/drive/MyDrive/BanglaAbuseMeme/BanglaAbuseMeme/Images/image_6.jpg,"ঘচ৭৮41 5ং৫৭ =ংশ৬}গ] [[ঁ] '৮]  [ মোদি দেশের অর্থনীতি কে |[[[;][ [সিছি দিলো:্মরত} সেন ণ[থ4 উনি ক্াচ বখনক] বচনজন"" উনিওনদ পরিতডথি মদনবনখ লড়ী !'+441|477|4401474118447517143443{ 171[10|44714 পোবড [7335",Gach 141 5g 5 = fIns} c] [[] '' 1]! '+441 | 477 | 440147411844751714343 {171 [10 | 44714 Pobd [73335
image_7.jpg,Negative,Yes,Not Vulgar,Abusive,Others,0,1,0,1,/content/drive/MyDrive/BanglaAbuseMeme/BanglaAbuseMeme/Images/image_7.jpg,তাড়াতাডি করো গিন্নিচাল ডাল তেল সন লুকিয়ে দাও . টাক্া গমলা যা আছে সব লুকিয়ে সিই বিত্ত দুয়ারে সরকার সচে গেদ,Hurry hide the guinea pulses oil.The government is hiding all that is hidden in the door of the government at the door of the government.
image_8.jpg,Negative,Yes,Vulgar,Abusive,Individual,0,1,1,1,/content/drive/MyDrive/BanglaAbuseMeme/BanglaAbuseMeme/Images/image_8.jpg,*দেবাংশু দেশব্যাপী পেঁয়াজের দাম যখন বেড়ে যায় নযেন্দ্র জবাব দাও শুঘুমাত্র এরাজ্যে আলু সছ অন্যান্য সবাজর দাম যথন নেড়ে ভাতে কি? আমার তো যায় চাট] ডে যায মোদি চেটেছ পেট,"*Debangshu nationwide onion prices rise when the Nayndra Replies Nayendra, what is the prices of potatoes in the state just in the state?I go to chaut] day, Modi cheat stomach"
image_9.jpg,Neutral,Yes,Not Vulgar,Non-abusive,Political,1,1,0,0,/content/drive/MyDrive/BanglaAbuseMeme/BanglaAbuseMeme/Images/image_9.jpg,কারা আবার রটাচ্ছে এগুলো নাকি তৃগমূল নেতা কর্মীদের হসফাপত্র ওহহ ভাই মারো-মুঝে ৫৫|,"Who is again or again, or the thirsty leader workers' Husbandh Ohh Bhai Marao-Mum."
image_10.jpg,Negative,Yes,Not Vulgar,Non-abusive,Political,0,1,0,0,/content/drive/MyDrive/BanglaAbuseMeme/BanglaAbuseMeme/Images/image_10.jpg,আচ্ছা দিলীপ বাবু যদি দিদি এবং ভাইপো বিজেপীতে যোগদাল করে তাহলে আপনাদের পরিকমনা কি হবে? ৩517916[ আমরা ওনাকে ছুলুলুতে স্থায়়ী পঞচায়েত প্রধান বানিয়ে দেবো এবং ভাইপোকে ওখাড়ে একটা চপের দোকান খুলে দেবো;,"Well, if Dilip Babu joins the sister and nephew BJP, what will happen to you?7517916 [We will make him the head of the stable pirate in Chululu and open the nephew to a chop shop;"
