Ids,sentiment,sarcasm,vulgar,abuse,target
image_1.jpg,Negative,Yes,Not Vulgar,Abusive,Political
image_2.jpg,Negative,Yes,Vulgar,Non-abusive,None
image_3.jpg,Neutral,Yes,Not Vulgar,Non-abusive,Political
image_4.jpg,Neutral,No,Vulgar,Non-abusive,Political
image_5.jpg,Negative,Yes,Not Vulgar,Non-abusive,Political
image_6.jpg,Negative,Yes,Not Vulgar,Abusive,Individual
image_7.jpg,Negative,Yes,Not Vulgar,Abusive,Others
image_8.jpg,Negative,Yes,Vulgar,Abusive,Individual
image_9.jpg,Neutral,Yes,Not Vulgar,Non-abusive,Political
image_10.jpg,Negative,Yes,Not Vulgar,Non-abusive,Political
image_11.jpg,Negative,No,Not Vulgar,Abusive,Individual
image_12.jpg,Negative,Yes,Not Vulgar,Non-abusive,Religion
image_13.jpg,Negative,No,Vulgar,Abusive,Individual
image_14.jpg,Negative,No,Vulgar,Non-abusive,Religion
image_15.jpg,Negative,Yes,Not Vulgar,Non-abusive,Religion
image_16.jpg,Negative,Yes,Vulgar,Abusive,Individual
image_17.jpg,Positive,No,Not Vulgar,Non-abusive,None
image_18.jpg,Negative,Yes,Not Vulgar,Abusive,Individual
image_19.jpg,Negative,No,Not Vulgar,Non-abusive,None
image_20.jpg,Negative,Yes,Not Vulgar,Abusive,Political
image_21.jpg,Neutral,Yes,Not Vulgar,Non-abusive,Political
image_22.jpg,Positive,No,Not Vulgar,Non-abusive,Political
image_23.jpg,Neutral,No,Not Vulgar,Non-abusive,Political
image_24.jpg,Negative,No,Vulgar,Abusive,Individual
image_25.jpg,Positive,No,Not Vulgar,Non-abusive,Individual
image_26.jpg,Negative,Yes,Not Vulgar,Non-abusive,Others
image_27.jpg,Neutral,No,Not Vulgar,Non-abusive,Political
image_28.jpg,Negative,Yes,Vulgar,Abusive,Religion
image_29.jpg,Negative,No,Not Vulgar,Abusive,Individual
image_30.jpg,Negative,No,Vulgar,Abusive,Individual
image_31.jpg,Neutral,Yes,Vulgar,Abusive,Individual
image_32.jpg,Negative,No,Vulgar,Abusive,Individual
image_33.jpg,Neutral,No,Not Vulgar,Non-abusive,Political
image_34.jpg,Negative,Yes,Not Vulgar,Non-abusive,None
image_35.jpg,Negative,No,Not Vulgar,Abusive,Individual
image_36.jpg,Negative,Yes,Vulgar,Abusive,Individual
image_37.jpg,Negative,No,Not Vulgar,Non-abusive,Political
image_38.jpg,Neutral,Yes,Vulgar,Non-abusive,Gender
image_39.jpg,Negative,No,Vulgar,Non-abusive,Political
image_40.jpg,Negative,Yes,Vulgar,Non-abusive,None
image_41.jpg,Negative,Yes,Vulgar,Abusive,Individual
image_42.jpg,Negative,Yes,Vulgar,Non-abusive,None
image_43.jpg,Positive,No,Not Vulgar,Non-abusive,None
image_44.jpg,Neutral,Yes,Not Vulgar,Non-abusive,None
image_45.jpg,Neutral,No,Not Vulgar,Non-abusive,Political
image_46.jpg,Negative,No,Not Vulgar,Non-abusive,Political
image_47.jpg,Negative,Yes,Not Vulgar,Non-abusive,Political
image_48.jpg,Neutral,No,Not Vulgar,Non-abusive,Others
image_49.jpg,Neutral,Yes,Vulgar,Non-abusive,None
image_50.jpg,Neutral,Yes,Not Vulgar,Non-abusive,None
image_51.jpg,Neutral,No,Not Vulgar,Non-abusive,None
image_52.jpg,Neutral,No,Not Vulgar,Non-abusive,None
image_53.jpg,Negative,Yes,Not Vulgar,Abusive,Individual
image_54.jpg,Negative,Yes,Vulgar,Non-abusive,None
image_55.jpg,Positive,Yes,Not Vulgar,Non-abusive,Individual
image_56.jpg,Negative,No,Not Vulgar,Abusive,Political
image_57.jpg,Neutral,Yes,Not Vulgar,Non-abusive,Individual
image_58.jpg,Negative,Yes,Vulgar,Abusive,Individual
image_59.jpg,Positive,No,Not Vulgar,Non-abusive,Political
image_60.jpg,Negative,Yes,Vulgar,Non-abusive,Individual
image_61.jpg,Negative,Yes,Not Vulgar,Non-abusive,Individual
image_62.jpg,Neutral,No,Not Vulgar,Non-abusive,Political
image_63.jpg,Negative,No,Not Vulgar,Abusive,Political
image_64.jpg,Positive,No,Not Vulgar,Non-abusive,Individual
image_65.jpg,Negative,No,Not Vulgar,Abusive,Political
image_66.jpg,Neutral,No,Not Vulgar,Non-abusive,None
image_67.jpg,Negative,Yes,Vulgar,Abusive,Individual
image_68.jpg,Negative,Yes,Not Vulgar,Non-abusive,Political
image_69.jpg,Negative,Yes,Vulgar,Non-abusive,None
image_70.jpg,Neutral,No,Not Vulgar,Non-abusive,None
image_71.jpg,Neutral,Yes,Not Vulgar,Non-abusive,Individual
image_72.jpg,Positive,Yes,Vulgar,Abusive,Individual
image_73.jpg,Neutral,Yes,Not Vulgar,Abusive,Individual
image_74.jpg,Neutral,Yes,Not Vulgar,Non-abusive,Individual
image_75.jpg,Neutral,No,Not Vulgar,Non-abusive,None
image_76.jpg,Negative,Yes,Not Vulgar,Abusive,Individual
image_77.jpg,Neutral,Yes,Not Vulgar,Non-abusive,None
image_78.jpg,Neutral,Yes,Not Vulgar,Non-abusive,None
image_79.jpg,Negative,Yes,Vulgar,Abusive,Religion
image_80.jpg,Neutral,No,Not Vulgar,Non-abusive,Individual
image_81.jpg,Negative,No,Not Vulgar,Abusive,Political
image_82.jpg,Neutral,Yes,Not Vulgar,Non-abusive,None
image_83.jpg,Negative,No,Not Vulgar,Abusive,Religion
image_84.jpg,Negative,No,Vulgar,Abusive,Political
image_85.jpg,Neutral,Yes,Not Vulgar,Non-abusive,None
image_86.jpg,Negative,No,Vulgar,Abusive,Individual
image_87.jpg,Negative,Yes,Vulgar,Abusive,Individual
image_88.jpg,Neutral,No,Not Vulgar,Non-abusive,Individual
image_89.jpg,Negative,Yes,Vulgar,Non-abusive,None
image_90.jpg,Neutral,No,Not Vulgar,Non-abusive,Political
image_91.jpg,Negative,Yes,Vulgar,Abusive,Individual
image_92.jpg,Negative,No,Vulgar,Abusive,Political
image_93.jpg,Neutral,Yes,Not Vulgar,Non-abusive,Individual
image_94.jpg,Negative,Yes,Vulgar,Non-abusive,Political
image_95.jpg,Negative,Yes,Vulgar,Non-abusive,None
image_96.jpg,Positive,No,Not Vulgar,Non-abusive,Individual
image_97.jpg,Negative,Yes,Vulgar,Abusive,Political
image_98.jpg,Positive,No,Not Vulgar,Non-abusive,Individual
image_99.jpg,Neutral,Yes,Not Vulgar,Non-abusive,Political
image_100.jpg,Positive,No,Not Vulgar,Non-abusive,None
image_101.jpg,Neutral,Yes,Not Vulgar,Non-abusive,Individual
image_102.jpg,Negative,No,Vulgar,Non-abusive,Political
image_103.jpg,Neutral,No,Vulgar,Non-abusive,Political
image_104.jpg,Negative,Yes,Not Vulgar,Non-abusive,Individual
image_105.jpg,Negative,No,Not Vulgar,Non-abusive,Political
image_106.jpg,Negative,Yes,Vulgar,Abusive,Political
image_107.jpg,Negative,No,Not Vulgar,Non-abusive,None
image_108.jpg,Negative,No,Not Vulgar,Abusive,Religion
image_109.jpg,Negative,Yes,Vulgar,Abusive,Individual
image_110.jpg,Neutral,No,Not Vulgar,Non-abusive,None
image_111.jpg,Negative,Yes,Not Vulgar,Abusive,National Origin#Political
image_112.jpg,Neutral,Yes,Not Vulgar,Abusive,Religion
image_113.jpg,Negative,Yes,Vulgar,Abusive,Religion
image_114.jpg,Negative,Yes,Not Vulgar,Non-abusive,Others
image_115.jpg,Neutral,Yes,Not Vulgar,Non-abusive,Political
image_116.jpg,Negative,Yes,Vulgar,Non-abusive,Political
image_117.jpg,Neutral,Yes,Not Vulgar,Abusive,Individual
image_118.jpg,Negative,Yes,Vulgar,Abusive,Religion
image_119.jpg,Neutral,No,Not Vulgar,Non-abusive,None
image_120.jpg,Negative,Yes,Not Vulgar,Abusive,Individual
image_121.jpg,Negative,Yes,Not Vulgar,Non-abusive,Political
image_122.jpg,Negative,Yes,Vulgar,Abusive,Religion
image_123.jpg,Negative,No,Not Vulgar,Non-abusive,Individual
image_124.jpg,Negative,No,Not Vulgar,Abusive,Others
image_125.jpg,Neutral,Yes,Not Vulgar,Non-abusive,None
image_126.jpg,Neutral,No,Not Vulgar,Non-abusive,Political
image_127.jpg,Negative,No,Not Vulgar,Abusive,Political
image_128.jpg,Negative,Yes,Not Vulgar,Non-abusive,Political
image_129.jpg,Negative,No,Not Vulgar,Abusive,Religion
image_130.jpg,Negative,No,Not Vulgar,Non-abusive,Political
image_131.jpg,Negative,No,Not Vulgar,Non-abusive,Individual
image_132.jpg,Negative,No,Not Vulgar,Abusive,Political
