Ids,sentiment,sarcasm,vulgar,abuse,target,SentimentLabel,SarcasmLabel,VulgarLabel,AbuseLabel,Image_Path,Banglatext,EnglishText,BanglaText
image_1.jpg,Negative,Yes,Not Vulgar,Abusive,Political,0,1,0,1,/content/brain-tumor-mri-dataset/BanglaAbuseMeme/Images/image_1.jpg,অণুজীব এবং_পতঙ্গ দের বানানো খাদ্য ল্যাকটোব্যাসিলাস মৌমাছি ইস্টী ভান-প্যান্টি) কিছু,microbi and patang made food lactobacillas bee esti van panty  something,অণুজীব এবং_পতঙ্গ দের বানানো খাদ্য ল্যাকটোব্যাসিলাস মৌমাছি ইস্টী ভান-প্যান্টি) কিছু
image_2.jpg,Negative,Yes,Vulgar,Non-abusive,,0,1,1,0,/content/brain-tumor-mri-dataset/BanglaAbuseMeme/Images/image_2.jpg,"ঘ০ চ৬""} যানকুণ্ড চংশয়ঝ| ভংস ০গচ0শ] [ন্দমোড [||4|[| |0|| একবোপের বেটা হিলে এখানকালি ঘাখিয়ে দেখা মাদারজাত মেদমদম 42043 334|2","d    ""} traffic chasiazha   bhang   gach   ships                      beta hill of ekbop mother s medamdam               ","ঘ চ""} যানকুণ্ড চংশয়ঝ| ভংস গচশ] [ন্দমোড [|||[| ||| একবোপের বেটা হিলে এখানকালি ঘাখিয়ে দেখা মাদারজাত মেদমদম  |"
image_3.jpg,Neutral,Yes,Not Vulgar,Non-abusive,Political,1,1,0,0,/content/brain-tumor-mri-dataset/BanglaAbuseMeme/Images/image_3.jpg,৪;:| [] তৃগমূলের রাঙা সহ সভাপতি প্রশাত্ত কিডশার একজনীবহিরাগত একজন বিহারী তূনমুলের রাজ] হওেঙেল; সডাপতি,        ranga  the president of the thirst  is the king of bihari tunmul  the king of kidasar  the king of the kidasha  hongel privilege,; | [] তৃগমূলের রাঙা সহ সভাপতি প্রশাত্ত কিডশার একজনীবহিরাগত একজন বিহারী তূনমুলের রাজ] হওেঙেল; সডাপতি
image_4.jpg,Neutral,No,Vulgar,Non-abusive,Political,1,0,1,0,/content/brain-tumor-mri-dataset/BanglaAbuseMeme/Images/image_4.jpg,"আস্ফানে টাকা দিয়েছিস কি হিসেব চাইতিস [দব5][,505={4""1:1 আম্ফানে কেন্দ্র সরকার ৩9০০ কোটি টাক পঠিয়ে ছিল","asfan gave money to the calculation  dob             {  ""     ampan on the central government rs ","আস্ফানে টাকা দিয়েছিস কি হিসেব চাইতিস [দব][,={"" আম্ফানে কেন্দ্র সরকার  কোটি টাক পঠিয়ে ছিল"
image_5.jpg,Negative,Yes,Not Vulgar,Non-abusive,Political,0,1,0,0,/content/brain-tumor-mri-dataset/BanglaAbuseMeme/Images/image_5.jpg,[74944]3[641{50[341191 দিদি ভাপান বিণাযকদেব ফোন কযদেল ছাড়তে মঢা ববদেন কিভ যে মতুষটিব জন্য দল আজ এই ডচতাহ সেহ শুভেন্দু্যুত একবারও যেন বলেন না ঢেন  417141#1!5]49[ 136310[ এবার আমার ছেলে অভিষেক উপ হবে-পরের বার মুখ্ামন্রা আরো কমেকজন ভাইপো লচনে আাছে মুগ্যমদী,               {           didi bhanakdev leaves the phone kabdel to leave the phone that the team is for the masculine that is not even once said that this dachtah seh shubenduut does not say once in          mugamdi,[][{[ দিদি ভাপান বিণাযকদেব ফোন কযদেল ছাড়তে মঢা ববদেন কিভ যে মতুষটিব জন্য দল আজ এই ডচতাহ সেহ শুভেন্দু্যুত একবারও যেন বলেন না ঢেন  #!][ [ এবার আমার ছেলে অভিষেক উপ হবে-পরের বার মুখ্ামন্রা আরো কমেকজন ভাইপো লচনে আাছে মুগ্যমদী
image_6.jpg,Negative,Yes,Not Vulgar,Abusive,Individual,0,1,0,1,/content/brain-tumor-mri-dataset/BanglaAbuseMeme/Images/image_6.jpg,"ঘচ৭৮41 5ং৫৭ =ংশ৬}গ] [[ঁ] '৮]  [ মোদি দেশের অর্থনীতি কে |[[[;][ [সিছি দিলো:্মরত} সেন ণ[থ4 উনি ক্াচ বখনক] বচনজন"" উনিওনদ পরিতডথি মদনবনখ লড়ী !'+441|477|4401474118447517143443{ 171[10|44714 পোবড [7335",gach      g     fins} c                                                 {                pobd       ,"ঘচ ং =ংশ}গ] [[ঁ] ']  [ মোদি দেশের অর্থনীতি কে |[[[;][ [সিছি দিলো ্মরত} সেন ণ[থ উনি ক্াচ বখনক] বচনজন"" উনিওনদ পরিতডথি মদনবনখ লড়ী !'||{ [| পোবড ["
image_7.jpg,Negative,Yes,Not Vulgar,Abusive,Others,0,1,0,1,/content/brain-tumor-mri-dataset/BanglaAbuseMeme/Images/image_7.jpg,তাড়াতাডি করো গিন্নিচাল ডাল তেল সন লুকিয়ে দাও . টাক্া গমলা যা আছে সব লুকিয়ে সিই বিত্ত দুয়ারে সরকার সচে গেদ,hurry hide the guinea pulses oil the government is hiding all that is hidden in the door of the government at the door of the government ,তাড়াতাডি করো গিন্নিচাল ডাল তেল সন লুকিয়ে দাও . টাক্া গমলা যা আছে সব লুকিয়ে সিই বিত্ত দুয়ারে সরকার সচে গেদ
image_8.jpg,Negative,Yes,Vulgar,Abusive,Individual,0,1,1,1,/content/brain-tumor-mri-dataset/BanglaAbuseMeme/Images/image_8.jpg,*দেবাংশু দেশব্যাপী পেঁয়াজের দাম যখন বেড়ে যায় নযেন্দ্র জবাব দাও শুঘুমাত্র এরাজ্যে আলু সছ অন্যান্য সবাজর দাম যথন নেড়ে ভাতে কি? আমার তো যায় চাট] ডে যায মোদি চেটেছ পেট, debangshu nationwide onion prices rise when the nayndra replies nayendra  what is the prices of potatoes in the state just in the state i go to chaut  day  modi cheat stomach, দেবাংশু দেশব্যাপী পেঁয়াজের দাম যখন বেড়ে যায় নযেন্দ্র জবাব দাও শুঘুমাত্র এরাজ্যে আলু সছ অন্যান্য সবাজর দাম যথন নেড়ে ভাতে কি? আমার তো যায় চাট] ডে যায মোদি চেটেছ পেট
image_9.jpg,Neutral,Yes,Not Vulgar,Non-abusive,Political,1,1,0,0,/content/brain-tumor-mri-dataset/BanglaAbuseMeme/Images/image_9.jpg,কারা আবার রটাচ্ছে এগুলো নাকি তৃগমূল নেতা কর্মীদের হসফাপত্র ওহহ ভাই মারো-মুঝে ৫৫|,who is again or again  or the thirsty leader workers  husbandh ohh bhai marao mum ,কারা আবার রটাচ্ছে এগুলো নাকি তৃগমূল নেতা কর্মীদের হসফাপত্র ওহহ ভাই মারো-মুঝে |
image_10.jpg,Negative,Yes,Not Vulgar,Non-abusive,Political,0,1,0,0,/content/brain-tumor-mri-dataset/BanglaAbuseMeme/Images/image_10.jpg,আচ্ছা দিলীপ বাবু যদি দিদি এবং ভাইপো বিজেপীতে যোগদাল করে তাহলে আপনাদের পরিকমনা কি হবে? ৩517916[ আমরা ওনাকে ছুলুলুতে স্থায়়ী পঞচায়েত প্রধান বানিয়ে দেবো এবং ভাইপোকে ওখাড়ে একটা চপের দোকান খুলে দেবো;,well  if dilip babu joins the sister and nephew bjp  what will happen to you          we will make him the head of the stable pirate in chululu and open the nephew to a chop shop ,আচ্ছা দিলীপ বাবু যদি দিদি এবং ভাইপো বিজেপীতে যোগদাল করে তাহলে আপনাদের পরিকমনা কি হবে? [ আমরা ওনাকে ছুলুলুতে স্থায়়ী পঞচায়েত প্রধান বানিয়ে দেবো এবং ভাইপোকে ওখাড়ে একটা চপের দোকান খুলে দেবো;
image_11.jpg,Negative,No,Not Vulgar,Abusive,Individual,0,0,0,1,/content/brain-tumor-mri-dataset/BanglaAbuseMeme/Images/image_11.jpg,"মোমমর]গদ^681]%%{1 শিলন্নেসনদ্ড সৌনার বাংলাগড়া এঘং সাংসাতক বাংসা আমাদের এরেণান লক্ষ্ষ্য; $৯ঃয়য়হঙ ৮ হ৫""' ৬,144([7]44'4""1411 ![)2[]; 9];1[@ শা্তিপ্রিয় ভাইদের' নিরমে বহত্তর বাংলাদেশ বানানো আমাদের একমাত্র লক্ষা","mommer  gad^       {  shilnesed sonar banglagara aghong md $    yoyhang   ""               ""                        shawpriya brothers  make a nerd bangladesh s only bangladeshi goal","মোমমর]গদ^]%%{ শিলন্নেসনদ্ড সৌনার বাংলাগড়া এঘং সাংসাতক বাংসা আমাদের এরেণান লক্ষ্ষ্য; $ঃয়য়হঙ  হ""' ([]'"" ![)[]; ];[@ শা্তিপ্রিয় ভাইদের' নিরমে বহত্তর বাংলাদেশ বানানো আমাদের একমাত্র লক্ষা"
image_12.jpg,Negative,Yes,Not Vulgar,Non-abusive,Religion,0,1,0,0,/content/brain-tumor-mri-dataset/BanglaAbuseMeme/Images/image_12.jpg,্িূষ্পমুরৌী ভারতের ঢ০ঢ কে তোলবার আপ্রাণ চেঙা চূালাচ্ছে ভাহ তার বিরনদু ছাসলিম,vahapamuroui is the best cheeks to lift the      in india ,্িূষ্পমুরৌী ভারতের ঢঢ কে তোলবার আপ্রাণ চেঙা চূালাচ্ছে ভাহ তার বিরনদু ছাসলিম
